id	name	source_name	child_count	dependency_count	compilation_time	line_count
106	./mapreplace.hpp	./mapreplace.hpp	2	1	3.97499752580188e-06	17
88	./versionnumber.hpp	./versionnumber.hpp	3	1	3.68700057151727e-06	16
112	./targetcxx.o	./targetcxx.cpp	1	14	2.71886065000217	249
21	./systemtargetinfo.o	./systemtargetinfo.cpp	2	13	1.63524835800126	137
84	./mapfixed.hpp	./mapfixed.hpp	2	1	1.12500129034743e-06	226
42	./targetpythoninterpreter.o	./targetpythoninterpreter.cpp	2	6	2.43125395400057	64
61	./pipe.hpp	./pipe.hpp	3	5	1.13799978862517e-06	101
12	./systemtargetinfo.hpp	./systemtargetinfo.hpp	3	2	4.38799906987697e-06	45
20	./exceptionhandler.hpp	./exceptionhandler.hpp	20	1	3.29999966197647e-06	21
14	./readbuffer.hpp	./readbuffer.hpp	5	2	3.74999945051968e-06	60
10	./thread.hpp	./thread.hpp	2	1	1.12500129034743e-06	51
72	./targetcxxfactory.o	./targetcxxfactory.cpp	1	2	1.042700238002	12
105	./options.hpp	./options.hpp	2	4	1.4870020095259e-06	65
2	./fileutils.o	./fileutils-linuxgnu.cpp	3	9	0.666757944996789	141
113	./target_hook.hpp	./target_hook.hpp	2	1	1.96300243260339e-06	39
30	./stringformat.o	./stringformat.cpp	4	4	1.93098704499789	481
35	./writebuffer.hpp	./writebuffer.hpp	4	3	3.45000080415048e-06	66
76	./graphedgewriterdot.hpp	./graphedgewriterdot.hpp	2	2	4.22499942942522e-06	25
70	./versionnumber.o	./versionnumber.cpp	2	2	0.0873508010008663	53
56	./textwriter.hpp	./textwriter.hpp	2	1	1.50000050780363e-06	21
24	./targetcxxoptions.hpp	./targetcxxoptions.hpp	4	3	1.31200067698956e-06	121
34	./parametersetmapfixed.hpp	./parametersetmapfixed.hpp	2	4	3.16300065605901e-06	52
92	./timedscope.hpp	./timedscope.hpp	2	1	1.13699934445322e-06	22
48	./command.hpp	./command.hpp	3	4	3.15000215778127e-06	47
11	./directorylister.o	./directorylister-linuxgnu.cpp	2	9	0.831643841000187	96
6	./targetpythonhook.o	./targetpythonhook.cpp	2	2	0.928362121998362	39
90	./target_factorydelegatordefault.o	./target_factorydelegatordefault.cpp	1	16	1.37623585299661	140
85	./dependencygraph.hpp	./dependencygraph.hpp	4	1	1.11199915409088e-06	62
37	./fileout.o	./fileout-posix.cpp	1	9	0.774195360998419	74
100	./target_loader.hpp	./target_loader.hpp	4	1	3.2499992812518e-06	24
43	./writebuffer.o	./writebuffer.cpp	3	4	0.780079577998549	44
104	./targetpythonfactory.hpp	./targetpythonfactory.hpp	2	4	3.37500023306347e-06	31
9	./spiderdefault.hpp	./spiderdefault.hpp	2	4	7.12600012775511e-06	47
29	./session.hpp	./session.hpp	3	19	3.97500116378069e-06	63
40	./resourceobject.o	./resourceobject.cpp	15	10	0.855542291999882	255
52	./target_factory.hpp	./target_factory.hpp	3	2	1.12500129034743e-06	23
55	./thread.o	./thread-posix.cpp	1	3	0.126154775000032	43
13	./targetcxxpptokenizer.o	./targetcxxpptokenizer.cpp	2	2	0.682431004002865	199
71	./targetpythonfactory.o	./targetpythonfactory.cpp	1	2	0.943098212999757	13
19	./pipe.o	./pipe-posix.cpp	2	9	1.2856022570013	346
22	./expressionevaluator.hpp	./expressionevaluator.hpp	4	1	5.26300209457986e-06	31
80	./sysvars.hpp	./sysvars.hpp	2	1	3.72499926015735e-06	21
78	./dependencygraphdefault.hpp	./dependencygraphdefault.hpp	2	6	3.98699921788648e-06	45
33	./expressionevaluator.o	./expressionevaluator.cpp	3	13	1.72593206800229	466
31	./maike.hpp	./maike.hpp	2	1	3.8130019675009e-06	54
82	./idgenerator.hpp	./idgenerator.hpp	3	1	5.61199703952298e-06	47
62	./stringkey.hpp	./stringkey.hpp	13	1	1.06299921753816e-06	49
101	./targetdirectoryloader.hpp	./targetdirectoryloader.hpp	2	3	3.46199885825627e-06	40
81	./targetpython.so	./targetpythonmain.cpp	0	3	1.24140558299769	19
36	./targetcxxhook.hpp	./targetcxxhook.hpp	3	10	1.18800016934983e-06	49
107	./target.hpp	./target.hpp	5	2	1.13699934445322e-06	53
3	./targetdirectory.o	./targetdirectory.cpp	2	4	0.901168276002863	42
18	./targetpythonloader.o	./targetpythonloader.cpp	1	17	0.909478944999137	168
94	./targetcxxcompiler.o	./targetcxxcompiler.cpp	2	19	2.83911999599877	264
32	./targetpythonloader.hpp	./targetpythonloader.hpp	2	2	3.17500234814361e-06	26
46	./parameterset.hpp	./parameterset.hpp	3	2	3.93799928133376e-06	28
26	./targetbase.o	./targetbase.cpp	4	6	1.08652366200113	73
115	pthread	pthread	1	0	nan	0
74	./graphedgewriterdot.o	./graphedgewriterdot.cpp	1	3	0.0687915359994804	22
59	./targetcxxoptions.o	./targetcxxoptions.cpp	3	9	1.52290958200319	273
86	./targetcxxhook.o	./targetcxxhook.cpp	2	2	1.0206172199978	36
51	./fileutils.hpp	./fileutils.hpp	4	1	1.12499765236862e-06	24
4	./handle.hpp	./handle.hpp	7	1	1.21300035971217e-06	32
97	./maike	./maike-main.cpp	0	19	4.178629981001	245
44	./maikeinfo.cpp	./maikeinfo.py	1	1	0.144444620000286	0
102	./fileinfo.hpp	./fileinfo.hpp	3	1	3.86300234822556e-06	48
110	./target_factorydelegatordefault.hpp	./target_factorydelegatordefault.hpp	2	3	1.68699989444576e-06	52
16	./targetcxxpptokenizer.hpp	./targetcxxpptokenizer.hpp	3	2	1.2500022421591e-06	53
47	./filein.hpp	./filein.hpp	5	2	1.15000148070976e-06	33
8	./datasink.hpp	./datasink.hpp	4	1	2.88700175588019e-06	32
108	./targetcxxfactory.hpp	./targetcxxfactory.hpp	2	4	1.22499841381796e-06	31
60	./datasource.hpp	./datasource.hpp	4	1	3.1749987101648e-06	31
67	./targetcxx.so	./targetcxxmain.cpp	0	3	1.26580693899814	19
28	./spider.hpp	./spider.hpp	3	1	2.937998942798e-06	29
69	./fileinfo.o	./fileinfo-linuxgnu.cpp	2	9	0.171494935999362	43
58	./targetcxx.hpp	./targetcxx.hpp	2	5	1.18800016934983e-06	59
49	./timedscope.o	./timedscope-linux.cpp	1	2	0.0596004869985336	26
25	./session.o	./session.cpp	2	11	2.21718697100005	260
65	./targetcxxloader.hpp	./targetcxxloader.hpp	2	2	1.1629999789875e-06	30
98	./stringformat.hpp	./stringformat.hpp	5	3	1.13700298243202e-06	25
93	./exceptionhandler.o	./exceptionhandler.cpp	19	4	0.0594392570019409	23
1	.	.	112	0	0.00010987799760187	0
39	./maike.o	./maike.cpp	1	20	2.1278018410012	399
23	./targetplaceholder.hpp	./targetplaceholder.hpp	2	3	3.48799949279055e-06	39
99	./directorylister.hpp	./directorylister.hpp	3	1	1.50000050780363e-06	24
50	./dependency.o	./dependency.cpp	6	10	0.787197208999714	72
89	./twins.hpp	./twins.hpp	12	1	3.32499985233881e-06	20
17	./fileout.hpp	./fileout.hpp	2	2	5.60000262339599e-06	32
79	./targetpythoninterpreter.hpp	./targetpythoninterpreter.hpp	3	3	3.46299930242822e-06	40
57	./variant.hpp	./variant.hpp	23	1	3.05000139633194e-06	191
38	./sysvars.o	./sysvars-linux.cpp	1	11	1.74811765100094	237
73	./targetpythonhook.hpp	./targetpythonhook.hpp	3	8	3.08800008497201e-06	50
114	jansson	jansson	1	0	nan	0
41	./targetcxxcompiler.hpp	./targetcxxcompiler.hpp	3	2	2.99999737762846e-06	67
45	./maikeinfo.o	__targets/maikeinfo.cpp	1	3	0.0336969070012856	0
111	./strerror.o	./strerror-posix.cpp	6	2	0.0518123340007151	27
68	./targetbase.hpp	./targetbase.hpp	5	4	3.2499992812518e-06	96
91	./errormessage.hpp	./errormessage.hpp	22	1	1.1629999789875e-06	33
53	./graphedgewriter.hpp	./graphedgewriter.hpp	2	1	4.08800042350776e-06	18
64	./filein.o	./filein-posix.cpp	4	9	0.76795333300106	56
5	./targetpython.hpp	./targetpython.hpp	2	3	3.22499909088947e-06	58
54	./maikeinfo.hpp	./maikeinfo.hpp	2	1	3.14999851980247e-06	19
96	./targetpython.o	./targetpython.cpp	1	6	1.3393841549987	64
77	./options.o	./options.cpp	1	9	2.56087989099979	212
87	./target_factorydelegator.hpp	./target_factorydelegator.hpp	4	2	1.1750016710721e-06	45
27	./targetdirectoryloader.o	./targetdirectoryloader.cpp	1	14	1.53871364500083	116
7	./errormessage.o	./errormessage.cpp	21	4	0.198060361999524	12
109	./command.o	./command.cpp	2	13	1.42141385899959	198
95	./spiderdefault.o	./spiderdefault.cpp	1	7	1.72335682099947	80
83	./targetdirectory.hpp	./targetdirectory.hpp	3	3	4.06300023314543e-06	38
66	./strerror.hpp	./strerror.hpp	7	1	3.06200308841653e-06	33
103	./dependencygraphdefault.o	./dependencygraphdefault.cpp	1	10	1.74949908400231	166
15	./dependency.hpp	./dependency.hpp	7	2	1.14999784273095e-06	75
63	./resourceobject.hpp	./resourceobject.hpp	16	1	1.17499803309329e-06	110
75	./targetcxxloader.o	./targetcxxloader.cpp	1	15	0.849868970999523	258
